model,accuracy,precision,recall,f1
Naive Bayes,0.9748549323017408,0.9906542056074766,0.8091603053435115,0.8907563025210085
Logistic Regression,0.9555125725338491,0.9775280898876404,0.6641221374045801,0.7909090909090909
