model,accuracy,precision,recall,f1
Naive Bayes,0.9748549323017408,0.9906542056074766,0.8091603053435115,0.8907563025210085
Logistic Regression,0.9564796905222437,0.9777777777777777,0.6717557251908397,0.7963800904977375
